comuna,longitud,latitud,nse,prop_apruebo_2020,boric_prop,kast_prop,yasna_prop,sichel_prop,artes_prop,meo_prop,parisi_prop
SAN RAMON,-70.6473619,-33.552055,5.668528940393577,0.8764705882352941,0.316546762589928,0.2086330935251798,0.1079136690647482,0.1151079136690647,0.0071942446043165,0.1510791366906475,0.0935251798561151
CERRILLOS,-70.70578259999998,-33.516204800000004,75.18123675904384,0.8666666666666667,0.3208955223880597,0.2462686567164179,0.1044776119402985,0.1119402985074626,0.0373134328358208,0.0970149253731343,0.0820895522388059
MAIPU,-70.7955535,-33.519107899999995,44.07644986907764,0.969811320754717,0.6331360946745562,0.0710059171597633,0.0473372781065088,0.0769230769230769,0.0236686390532544,0.0769230769230769,0.0710059171597633
RENCA,-70.7434387,-33.404738,20.861773165862004,0.907608695652174,0.3474576271186441,0.2033898305084746,0.0338983050847457,0.0508474576271186,0.0423728813559322,0.0762711864406779,0.2457627118644068
MACUL,-70.5898017,-33.4874354,59.5373126270357,0.8736842105263158,0.3742690058479532,0.1169590643274853,0.1111111111111111,0.1929824561403508,0.0116959064327485,0.1228070175438596,0.0701754385964912
LAS CONDES,-70.5766216,-33.4209936,96.40608331642024,0.6118721461187214,0.1262135922330097,0.4951456310679612,0.0631067961165048,0.2864077669902912,0.0097087378640776,0.0194174757281553,0.0
MAIPU,-70.7833991,-33.5101872,17.95728601265133,0.9525862068965516,0.4680851063829787,0.1329787234042553,0.0851063829787234,0.0797872340425532,0.0106382978723404,0.0691489361702127,0.1542553191489361
ESTACION CENTRAL,-70.68946559999998,-33.4722147,12.3906605706196,0.8742514970059879,0.3538461538461539,0.2230769230769231,0.1307692307692307,0.1076923076923077,0.023076923076923,0.0846153846153846,0.0769230769230769
MAIPU,-70.7834733,-33.5321839,44.23474146954992,0.9027777777777778,0.4103773584905661,0.1792452830188679,0.0896226415094339,0.1226415094339622,0.0047169811320754,0.1320754716981132,0.0613207547169811
SANTIAGO,-70.64709609999998,-33.4362335,98.01289427930706,0.74,0.3492063492063492,0.2142857142857142,0.1904761904761904,0.1507936507936508,0.0079365079365079,0.0714285714285714,0.0158730158730158
LA CISTERNA,-70.6659532,-33.5232011,51.32127121177432,0.8037974683544303,0.3417721518987341,0.2151898734177215,0.1329113924050632,0.1518987341772152,0.0253164556962025,0.1012658227848101,0.0316455696202531
HUECHURABA,-70.6325022,-33.3653361,10.152282868314783,0.8295454545454546,0.2922077922077922,0.2402597402597402,0.1298701298701298,0.1233766233766233,0.0324675324675324,0.1233766233766233,0.0584415584415584
RECOLETA,-70.6280783,-33.3953811,29.99617080795952,0.8634146341463415,0.4117647058823529,0.2156862745098039,0.1045751633986928,0.0784313725490196,0.0130718954248366,0.0915032679738562,0.0849673202614379
VITACURA,-70.5432881,-33.3781264,86.40776796096023,0.3855932203389831,0.0909090909090909,0.4822134387351778,0.0553359683794466,0.3517786561264822,0.0,0.0158102766798418,0.0039525691699604
LA FLORIDA,-70.5751865,-33.518615999999994,71.98531109935803,0.8280542986425339,0.3556701030927835,0.2113402061855669,0.134020618556701,0.1701030927835051,0.0206185567010309,0.0618556701030927,0.0463917525773195
LA PINTANA,-70.65193640000003,-33.5825141,7.5075409088682274,0.8362831858407079,0.1858407079646017,0.1946902654867257,0.168141592920354,0.1150442477876106,0.0265486725663716,0.2035398230088496,0.1061946902654867
PEÑALOLEN,-70.5694733,-33.4700184,17.518203659027947,0.8578431372549019,0.3452380952380952,0.244047619047619,0.125,0.0595238095238095,0.0178571428571428,0.1071428571428571,0.1011904761904762
MAIPU,-70.735884,-33.4722539,65.53034809655163,0.9201680672268908,0.3849765258215962,0.1643192488262911,0.0469483568075117,0.1173708920187793,0.0751173708920187,0.0938967136150234,0.1173708920187793
PROVIDENCIA,-70.59983709999999,-33.439817100000006,87.48244120490575,0.6651785714285714,0.3476394849785407,0.3133047210300429,0.0987124463519313,0.1974248927038626,0.0042918454935622,0.0214592274678111,0.0171673819742489
MAIPU,-70.7759768,-33.505819,26.63045597378953,0.91701244813278,0.4233128834355828,0.1411042944785276,0.049079754601227,0.0797546012269938,0.0245398773006134,0.147239263803681,0.1349693251533742
SAN MIGUEL,-70.6462478,-33.4914392,52.35497809962098,0.8592233009708737,0.3696969696969697,0.1575757575757575,0.103030303030303,0.2,0.0303030303030303,0.103030303030303,0.0363636363636363
CERRILLOS,-70.7292592,-33.50735039999999,51.14240895171119,0.7606837606837606,0.3224043715846995,0.3114754098360656,0.0928961748633879,0.1420765027322404,0.0273224043715847,0.0601092896174863,0.0437158469945355
MAIPU,-70.79371850000003,-33.5153406,49.44356740727706,0.908695652173913,0.3821656050955414,0.1656050955414012,0.1019108280254777,0.0828025477707006,0.0700636942675159,0.10828025477707,0.0891719745222929
MAIPU,-70.76019040000001,-33.496616499999995,51.52300364623065,0.8246445497630331,0.3099415204678362,0.239766081871345,0.1052631578947368,0.1169590643274853,0.0292397660818713,0.0760233918128654,0.1228070175438596
PEÑALOLEN,-70.56401679999998,-33.4835369,17.807392640152926,0.8315789473684211,0.2631578947368421,0.1776315789473684,0.131578947368421,0.1907894736842105,0.006578947368421,0.1578947368421052,0.0723684210526315
LAS CONDES,-70.5358748,-33.4136117,50.78355966890985,0.398936170212766,0.1280788177339901,0.4975369458128079,0.083743842364532,0.270935960591133,0.0098522167487684,0.0098522167487684,0.0
QUILICURA,-70.7577036,-33.3630398,45.4032949047751,0.9551569506726456,0.4713375796178344,0.0955414012738853,0.0700636942675159,0.0764331210191082,0.0254777070063694,0.0764331210191082,0.1847133757961783
