type,text
Retweet,"Hoy acordamos proponer a @NinoskaEsther2 como nuestra candidata a presidir el Consejo Constitucional. Una gran mujer, madre y profesora… una historia de esfuerzo, de superación y profundo compromiso y amor a la Patria 🇨🇱 al igual q muchos Chilenos comunes y corrientes. #PorChile https://t.co/OBNqVG28As"
Retweet,"TVN registró pérdidas de $1.526 millones el primer trimestre. El canal estatal explicó que fue producto de eventos televisivos, y el incremento del IPC. Pero, ¿ es TVN el canal de todos los chilenos o sólo de algunos?.  Estaremos fiscalizando 🔍 #YoTeFiscalizo https://t.co/3BjJeWQ8ss"
Retweet,"En Chile buscan las #CuotasEncubiertas en el mundo de la ciencia e investigación. En #IR creemos en el mérito, la libertad, en el esfuerzo personal y no en la imposición de cuotas. Conoce más detalles de esta iniciativa en este video 
➡️📹 https://t.co/i9yRYvuo7q https://t.co/lJbInjMFMl"
Retweet,"Tras 6 años ¿por qué #Chile vuelve a tener relaciones diplomáticas con #Venezuela? 

¿Estamos cediendo ante un régimen autoritario? 

Más detalles en nuestro nuevo video
➡️ https://t.co/rNTInIo3N8

Si te gusta, ¡comparte!"
Tweet,"Felicitaciones a @vox_es y a su lider @Santi_ABASCAL por el gran resultado en las elecciones municipales españolas. Ahora, con fuerza y convicción, a derrotar a la izquierda el próximo 23 de Julio y comenzar la reconstrucción de España 🇨🇱🇪🇸 https://t.co/Cg4uzrKJrp"
Retweet,Hoy salimos en el cuerpo reportajes de El Mercurio ✌️ @i_republicanas @a_republicana @joseantoniokast https://t.co/ZV8iVm7n69
Retweet,"Hoy a las 12:30 nuestro presidente @arturo_squella estará como invitado en #MesaCentral

Acompáñalo conectándote en el siguiente link ⬇️
https://t.co/bapLhzfAsh https://t.co/uWeFzZRZ6k"
Tweet,"El gobierno incorpora al Dia del Patrimonio, una visita guiada al “Museo” del Estallido “Social” como una forma de “vivenciar” la “revuelta social permananente”.

Una oda a la violencia, al odio y división de los chilenos auspiciada por un gobierno desconectado de la realidad https://t.co/eGTtH5Pweo"
Tweet,"Actividad económica y protección del medio ambiente, ambos, son fundamentales para el desarrollo del país y deben ser conjugados. Ley SBAP se desvió del camino, producto del ecologismo radical de algunos en el gobierno. No hay que destruir la industria para salvar el planeta. https://t.co/RSE9l3ZstN"
Retweet,"¿Por qué el fiscal #PatricioCooper presenta a la alcaldesa #IraciHassler como imputada y no querellante? El equipo de fiscalización de #IR te los resume en 2 minutos

➡️ https://t.co/dldsr8W0YZ"
Retweet,"¿Una amenaza a la inversión minera? #RoyaltyMinero Con el límite de 46,5% de carga tributaria aprobado, #Chile tendrá una carga excesiva que podría traducirse en una disminución de la inversión y producción del sector. Más detalles en este video 

↪️ https://t.co/xy9P6RkBRx https://t.co/MZrqS892fl"
Retweet,"Hoy es el #DiaDelCompleto
 ¿Sabías  que 1/5 de lo que pagas en uno 🌭 va directamente al #Estado ❓ Comenta aquí ⬇️ https://t.co/NnaTsE8KNe"
Tweet,"Junto a nuestro Presidente @arturo_squella , el Diputado @JoseMezaPereira y nuestros Consejeros electos @ABarchiesi y @safigueroa celebrando el #diadelcompleto 🇨🇱🌭 https://t.co/GbpTHFG17U"
Tweet,117 mil pesos por cilindro de gas. Eso le cuesta al Estado la politica populista de “gas para Chile” financiada con los recursos de todos los chilenos. https://t.co/vZ8ykd3im6
Retweet,"¿Querellante o imputada? 🤨
 El Fiscal #PatricioCooper ingresó una solicitud para aclarar que #IraciHassler es imputada y no querellante por la compra de la clínica #SierraBellaNuevos antecedentes de este escandaloso #FraudeAlFisco aquí 👉🏻 https://t.co/rVi6TpyHFv https://t.co/uCiHyTLuUB"
Retweet,"“ Aquí no van a estar en juego los principios de la colectividad. El ideario Republicano y la acción misma del Partido Republicano va por cauces paralelos a lo que es escribir una Constitución”. @pintanino_ 

Leer entrevista en el siguiente link ⬇️

https://t.co/1sJ6Y5Va8P https://t.co/dCf2w3vV2J"
Retweet,"La lista de espera en salud es algo que se debe abordar con la seriedad que se merece. Desde @i_republicanas
revisamos los datos que se publican por diversas autoridades en el marco de la ejecución de la ley de presupuesto. Los pacientes y sus familias merecen ser tratadas con… https://t.co/VTHH2R1FiM"
Tweet,"Les recomiendo los videos que están armando en el Centro de Estudios @i_republicanas que ayudan a entender el acontecer nacional e internacional.
¿Por qué #Ecuador llegó a este punto crítico? La explicación en el siguiente video 

https://t.co/4BKDglStLW"
Retweet,"Sabes por qué la alcaldesa de #Santiago estaría imputada por el caso de la Clínia #SierraBella?  Gracias al trabajo de fiscalización de #IR y @YoTeFiscalizo te contamos los detalles👇🏻

https://t.co/rFIexX0yQ5"
Retweet,"¿Por qué #Ecuador llegó a este punto crítico? En el ojo del huracán de un juicio por malversación, #GuillermoLasso , el actual mandatario de #Ecuador, invocó un recurso sin precedentes: la disolución de la Asamblea Nacional. 
Conoce los antecedentes  👉🏻https://t.co/jZe0HFEOup"
Tweet,"El Estado al servicio de la política y el desprecio a las personas. Quieren aumentar los impuestos, a costa del emprendimiento, para financiar amigos, parientes y operadores políticos. https://t.co/pZy7PWYLZB"
Tweet,"Hace más de 140 años, una gesta heroica que marcó nuestra historia e imprimió un sello imborrable en el carácter de los chilenos. El peor homenaje a los heroes es que el Presidente siga viviendo aislado en una burbuja, evitando enfrentar la legítima desaprobación de la gente. https://t.co/g7K6hLeCSr"
Retweet,Desde el Partido Republicano les deseamos un feliz día de las Glorias Navales a aquellos que forman parte de la Armada de Chile. Gracias por su sacrificio y entrega al servir a nuestra Patria. 🇨🇱 https://t.co/PtJhLkJXyj
Retweet,"Porque nuestro compromiso es total y nuestro foco siempre está puesto en los chilenos, es que #TeQueremosEscuchar 🙌

Entra a https://t.co/6ypE4PIcF2 y déjanos tu idea o solicitud para que juntos REconstruyamos y REcuperemos nuestro país. 🇨🇱 @PRChile

https://t.co/oXTYtRhzIF"
Tweet,REpublicanos! ✌️🇨🇱
Retweet,"¿Qué está ocurriendo en Ecuador? 🇪🇨
En menos de 2 minutos te contamos los detalles de su escenario político y desafíos para resguardar la libertad y la democracia #IRInternacional https://t.co/roZlFEz4xr"
Tweet,Los ataques a Carabineros no paran. Nuestros mejores deseos al funcionario y su pronta recuperación.
